Datetime,value,rolling_mean,rolling_std,z_score,anomaly
2011-01-01,241162.0,,,,False
2011-01-02,270137.0,,,,False
2011-01-03,290823.0,,,,False
2011-01-04,299994.0,,,,False
2011-01-05,308524.0,,,,False
2011-01-06,301734.0,,,,False
2011-01-07,307917.0,,,,False
2011-01-08,289635.0,,,,False
2011-01-09,271891.0,,,,False
2011-01-10,297560.0,,,,False
2011-01-11,302818.0,,,,False
2011-01-12,303446.0,,,,False
2011-01-13,303916.0,,,,False
2011-01-14,302273.0,,,,False
2011-01-15,279124.0,,,,False
2011-01-16,271977.0,,,,False
2011-01-17,298047.0,,,,False
2011-01-18,298277.0,,,,False
2011-01-19,303556.0,,,,False
2011-01-20,311622.0,,,,False
2011-01-21,324829.0,,,,False
2011-01-22,299543.0,,,,False
2011-01-23,283849.0,,,,False
2011-01-24,308376.0,,,,False
2011-01-25,301864.0,,,,False
2011-01-26,301460.0,,,,False
2011-01-27,306994.0,,,,False
2011-01-28,295670.0,,,,False
2011-01-29,268896.0,,,,False
2011-01-30,257167.0,293436.0333333333,18028.91551519456,-2.011714642667564,False
2011-01-31,300177.0,295403.2,15112.20764219078,0.3158903128535853,False
2011-02-01,307627.0,296652.86666666664,14488.016683793701,0.7574627758131331,False
2011-02-02,271520.0,296009.43333333335,15168.512807976489,-1.6144913903791132,False
2011-02-03,306930.0,296240.63333333336,15283.761999616429,0.699393687688601,False
2011-02-04,311765.0,296348.6666666667,15384.702178672047,1.0020560134537486,False
2011-02-05,281454.0,295672.6666666667,15584.168328972413,-0.9123789198447547,False
2011-02-06,262084.0,294144.9,16558.543448250097,-1.936214987761391,False
2011-02-07,290474.0,294172.86666666664,16551.37072922034,-0.22347796609597642,False
2011-02-08,308816.0,295403.7,16206.618026979395,0.8275816692706853,False
2011-02-09,323891.0,296281.4,17020.01406174709,1.622184323692966,False
2011-02-10,326720.0,297078.13333333336,17874.54671859966,1.6583282996386306,False
2011-02-11,314987.0,297462.8333333333,18138.567357948923,0.9661273859639755,False
2011-02-12,270415.0,296346.13333333336,18748.56547106973,-1.3830995962516068,False
2011-02-13,246861.0,294499.06666666665,20765.5662625005,-2.294089458696528,False
2011-02-14,275969.0,294393.9,20853.91918734735,-0.883522173193177,False
2011-02-15,286313.0,294871.76666666666,20483.48810321896,-0.41783736361394724,False
2011-02-16,273812.0,294063.93333333335,20828.924754033647,-0.9722985498524804,False
2011-02-17,268555.0,293073.2,21322.63509852448,-1.1498672601538196,False
2011-02-18,265495.0,291804.5,21804.27693532658,-1.206621071546482,False
2011-02-19,253432.0,289864.8333333333,22555.842223679916,-1.6152282398519726,False
2011-02-20,254359.0,287515.8333333333,22458.276835490797,-1.4763747715913627,False
2011-02-21,286260.0,287073.06666666665,22343.62893369023,-0.03638919483847545,False
2011-02-22,294488.0,287427.7,22375.1005008724,0.315542716767896,False
2011-02-23,293822.0,286942.56666666665,22060.812283296666,0.31183952997696773,False
2011-02-24,287303.0,286457.2,21880.64570282185,0.03865516637339954,False
2011-02-25,283509.0,285858.8333333333,21700.93246857724,-0.10828259738312407,False
2011-02-26,265292.0,284468.76666666666,21635.94903871217,-0.8863381325383319,False
2011-02-27,249027.0,282914.0,22463.339211963288,-1.5085468674199969,False
2011-02-28,282003.0,283350.9,22308.221614695067,-0.06042166978976589,False
2011-03-01,282752.0,284203.73333333334,21754.894905290465,-0.06673134205673857,False
2011-03-02,281872.0,283593.56666666665,21547.150183090267,-0.07989765013183503,False
2011-03-03,285084.0,282842.13333333336,21067.859702978163,0.10641169526820649,False
2011-03-04,272963.0,282890.23333333334,21042.751086502667,-0.47176499367998065,False
2011-03-05,262642.0,281413.9666666667,20850.720238090824,-0.9003030328119501,False
2011-03-06,249949.0,279353.43333333335,20802.278119083072,-1.4135198637864113,False
2011-03-07,282198.0,279378.23333333334,20805.31198861681,0.13553109264640872,False
